(mnist_lab) zzm@autodl-container-a53c499c18-6d3fc5e8:~/LAB/lab4/src$ python /home/zzm/LAB/lab4/src/main.py
Some weights of the model checkpoint at /home/zzm/LAB/lab4/src/model_hub/chinese-bert-wwm-ext were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/torch/nn/modules/rnn.py:1013: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.1 and num_layers=1
  super().__init__("LSTM", *args, **kwargs)
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/1 133/834 loss:23.066574
【train】1/1 134/834 loss:22.968824
【train】1/1 135/834 loss:14.572729
【train】1/1 136/834 loss:29.834570
【train】1/1 137/834 loss:23.234478
【train】1/1 138/834 loss:13.450000
【train】1/1 139/834 loss:18.768864
【train】1/1 140/834 loss:17.193424
【train】1/1 141/834 loss:30.602705
【train】1/1 142/834 loss:22.765041
【train】1/1 143/834 loss:26.099686
【train】1/1 144/834 loss:16.658340
【train】1/1 145/834 loss:22.215359
【train】1/1 146/834 loss:26.851561
【train】1/1 147/834 loss:22.272879
【train】1/1 148/834 loss:16.729467
【train】1/1 149/834 loss:27.320412
【train】1/1 150/834 loss:18.538029
【train】1/1 151/834 loss:18.082352
【train】1/1 152/834 loss:14.754783
【train】1/1 153/834 loss:23.955572
【train】1/1 154/834 loss:26.747738
【train】1/1 155/834 loss:18.125393
【train】1/1 156/834 loss:17.141159
【train】1/1 157/834 loss:14.645807
【train】1/1 158/834 loss:17.619419
【train】1/1 159/834 loss:14.349493
【train】1/1 160/834 loss:17.257874
【train】1/1 161/834 loss:26.181606
【train】1/1 162/834 loss:23.063229
【train】1/1 163/834 loss:20.088825
【train】1/1 164/834 loss:12.485518
【train】1/1 165/834 loss:21.447811
【train】1/1 166/834 loss:20.223293
【train】1/1 167/834 loss:18.900232
【train】1/1 168/834 loss:17.372183
【train】1/1 169/834 loss:21.247601
【train】1/1 170/834 loss:25.416298
【train】1/1 171/834 loss:14.051638
【train】1/1 172/834 loss:13.293780
【train】1/1 173/834 loss:16.999065
【train】1/1 174/834 loss:15.744535
【train】1/1 175/834 loss:15.558165
【train】1/1 176/834 loss:22.306240
【train】1/1 177/834 loss:18.643715
【train】1/1 178/834 loss:16.657085
【train】1/1 179/834 loss:15.750036
【train】1/1 180/834 loss:24.641647
【train】1/1 181/834 loss:29.470840
【train】1/1 182/834 loss:18.671059
【train】1/1 183/834 loss:31.687778
【train】1/1 184/834 loss:20.302782
【train】1/1 185/834 loss:15.428195
【train】1/1 186/834 loss:12.677538
【train】1/1 187/834 loss:21.038284
【train】1/1 188/834 loss:17.191788
【train】1/1 189/834 loss:12.600201
【train】1/1 190/834 loss:10.350603
【train】1/1 191/834 loss:14.609806
【train】1/1 192/834 loss:18.821413
【train】1/1 193/834 loss:35.570137
【train】1/1 194/834 loss:16.899895
【train】1/1 195/834 loss:8.372684
【train】1/1 196/834 loss:20.310577
